H,Runs_renamed_renamed_renamed,HsHD,Ave_renamed_renamed_renamed,BF_renamed_renamed_renamed,SR_renamed_renamed_renamed,100_renamed_renamed_renamed,50_renamed_renamed_renamed,0_renamed_renamed_renamed,4s_renamed_renamed_renamed,6s_renamed_renamed_renamed
M Naeem,90,42,45.0,91,98.9,0,0,1,7,1
S Adedeji,89,51,22.25,114,78.07,0,1,1,5,2
M Nadeem,89,29,8.9,106,83.96,0,0,1,7,0
A Otwani,89,44,22.25,78,114.1,0,0,0,13,1
A Ferguson,88,51,44.0,100,88.0,0,1,0,5,1
N Madziva,88,28,17.6,80,110.0,0,0,1,4,5
M Haque,88,38,22.0,62,141.93,0,0,0,5,6
Z Shah,88,50,22.0,87,101.14,0,1,0,7,1
P Airee,87,29,7.9,93,93.54,0,0,4,10,1
S Getkate,87,24,8.7,73,119.17,0,0,1,4,4
R Iqbal,87,39,17.4,89,97.75,0,0,0,13,0
A Gandhi,86,50,43.0,98,87.75,0,1,0,5,1
D Michael,85,55,28.33,82,103.65,0,1,1,1,6
A Nurse,85,20,42.5,71,119.71,0,0,0,7,3
